tweet,autor,posicion_autor,rating
“Que estemos soportando una deuda que aumenta en nueve millones de euros cada hora que pasa”,Cuca Gamarra,Diputada,Verdad a medias
"“Usted lleva más de tres años y medio como ministra de Economía y en este periodo casi 104.000 empresas se han visto obligadas a cerrar""",Cuca Gamarra,Diputada,Engañoso
"""Nosotros [los diputados] cuando acabamos nuestro mandato, no tenemos derecho al paro, no tenemos indemnizaciones""",Alícia Romero,Portavoz del PSC en el Parlament catalán,Engañoso
"“Somos el único país de la Unión Europea, y me atrevo a decir de Occidente, que todavía no ha recuperado el nivel del PIB previo a la pandemia”",Iván Espinosa de los Monteros,Portavoz de Vox en el Congreso,Engañoso
"""Hoy Cataluña está liderando la creación de puestos de trabajo""",Pere Aragonès,President de la Generalitat,Falso
"""Hasta el 30/10/96 en que J. Ariza (PP) habló en castellano en el hemiciclo (y algunos salieron en protesta), ningún diputado lo había usado nunca""",Salvador Vergés,Diputado del Parlament de Cataluña,Falso
[A Pedro Sánchez] “Renovó el Consejo de Estado sin acuerdo por primera vez en la historia”,Pablo Casado,Presidente del PP,Engañoso
“Hay mucha gente que disfruta del permiso de paternidad y no sabe que Abascal votó en contra de este permiso”,Gabriel Rufián,Portavoz de ERC en el Congreso,Falso
"“(Regadío en Doñana) La Comisión Europea recordaba que está dispuesta a llegar donde haga falta para frenar esta barbaridad, esta inmensa ilegalidad propiciada por el PP, Cs y Vox”",Teresa Ribera,Vicepresidenta cuarta y ministra para la Transición Ecológica y el Reto Demográfico,Verdad a medias
“Somos el único espacio político que no pide ni un euro a los bancos. (...) Los recursos de los que han dispuesto el resto de partidos políticos son muy superiores a los que teníamos en Unidas Podemos”,Pablo Fernández,Secretario general de Unidas Podemos en Castilla y León,Engañoso
"""[La reforma laboral la] habían pactado los agentes sociales por primera vez en la historia de las reformas laborales del Estatuto de los Trabajadores""",Edmundo Bal,Diputado y portavoz,Engañoso
"“Decir también que en Monumenta han tenido asistencia sanitaria –es un pueblo de Zamora–, asistencia sanitaria todo el tiempo”",Alfonso Fernández Mañueco,Presidente de Castilla y León,Verdad a medias
“Dos de cada tres plazas en Castilla y León en las residencias son privadas; se ha hecho negocio con la protección de nuestros mayores”,Luis Tudanca,Candidato a la Presidencia de Castilla y León,Verdad a medias
"“Yo di mi palabra que mientras yo fuera presidente no se cerraría ningún consultorio en el medio rural, y he cumplido”",Alfonso Fernández Mañueco,Presidente de Castilla y León,Engañoso
"“[El 17 de diciembre] Pau Juvillà está en el pleno, es convocado, y no vota porque sabe perfectamente que su voto habría adulterado el resultado de esta votación”",Laura Borràs,Presidenta del Parlament de Cataluña,Falso
“Hemos visto a un PSOE de Castilla y León que tiene más veces la mención memoria histórica que a la vivienda en el programa electoral”,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
“Otra cosa es negociar con Bildu. A mí no me habrá visto nadie”,Sergio Sayas,Diputado,Falso
"""Hubo quien criticó en su momento a Roger Torrent, que actuó tras un sentencia firme del Supremo [en el caso de Quim Torra]. En caso de la presidenta del Parlament actuó mucho antes""",Oriol Junqueras,Presidente de Esquerra Republicana de Catalunya,Engañoso
"“Criticaban al presidente Rajoy y ellos han multiplicado por cinco, yo creo, en número, más de 100 reales decretos leyes desde que está el señor Sánchez”",Ana Pastor,Diputada,Engañoso
“Es una vergüenza que la dotación presupuestaria para los ataques de lobos sean 50.000 euros cuando hay 500 millones de euros para el ministerio de desigualdad”,Juan García-Gallardo,Candidato a la Presidencia de Castilla y León,Engañoso
"“Es la primera vez desde que hay registro en el INE que hay un balance migratorio positivo, que viene más gente de la que se va”",Francisco Igea,Candidato a la Presidencia de Castilla y León,Verdad a medias
“Un autónomo paga el doble por trabajar en España que en Francia”,Teodoro García Egea,Secretario general del PP,Engañoso
“[Castilla y León] Es la comunidad donde más se incrementó el precio de la vivienda el año pasado”,Pablo Fernández,Candidato de Unidas Podemos a la presidencia de Castilla y León,Falso
"""La desaparición del contrato de obra y su sustitución por un mecanismo alternativo de finalización del contrato solo se hace para un sector, el de la construcción""",Cuca Gamarra,Diputada,Verdadero
"""Los últimos tres años este Gobierno ha invertido un 26% más de lo que había invertido el Gobierno de Mariano Rajoy en ocho años en Castilla y León”",Teresa Ribera,Vicepresidenta cuarta y ministra para la Transición Ecológica y el Reto Demográfico,Falso
“Solo el 5% de los niños de 0 a 3 años están escolarizados en escuelas públicas”,Luis Tudanca,Candidato a la Presidencia de Castilla y León,Falso
"“Castilla y León lleva perdiendo población desde 1987, desde que comenzó a gobernar un Partido Popular”",Luis Tudanca,Candidato a la Presidencia de Castilla y León,Verdad a medias
“Y lo que dijo [Garzón] es que el 80% de los quesos en España eran no saludables”,Pablo Casado,Presidente del PP,Falso
"“En épocas de crecimiento económico (...) lo que hemos hecho ha sido, por primera vez en años, reducir la tasa de abandono escolar”",Pedro Sánchez,Presidente del Gobierno,Falso
"De verdad, este es el presidente de Hungría. El presidente que (...) tiene la mitad de la inflación que España.",Jorge Buxadé,Eurodiputado,Falso
"“A otras entidades (...) como pueden ser Cáritas o como puede ser Cruz Roja, [Ada Colau] las deja sin ningún tipo de subvención”",María Luz Guilarte,Presidenta del grupo municipal de Ciudadanos en Barcelona,Falso
“[Castilla y León] Es la única comunidad en que es obligatorio [hacer debates electorales]”,Francisco Igea,Candidato a la presidencia de Castilla y León,Falso
"""Nunca había pasado que la gestión municipal se ubicara como uno de los principales problemas""",Elsa Artadi,Diputada del Parlament de Catalunya,Verdad a medias
"""[Pedro Sánchez] no ha sido capaz ni de ejecutar 100 millones de 24.000 que tenía presupuestados para el 2021""",Pablo Casado,Presidente del PP,Falso
"“En España, el 80% de los jóvenes entre 16 y 29 años continúa residiendo en el domicilio familiar. En Cataluña, este porcentaje, este nivel, es peor: el 85%”",Raquel Sánchez,"Ministra de Transportes, Movilidad y Agenda Urbana",Engañoso
"""La comunidad que está peor en estos momentos en número de contagios es, precisamente, Cataluña""",Santi Rodríguez,secretario general del PP de Cataluña,Engañoso
"“Garzón, no contento con meterse con el campo y con el sector del vacuno, ahora se mete con el sector de la hostelería y con el sector de la restauración”",Alfonso Fernández Mañueco,Presidente de Castilla y León,Falso
“El Gobierno acaba de adquirir por 1€ un agujero de 35.000 millones del banco Sareb. El 43% del gasto público sanitario en España en 2021 en plena pandemia”,Íñigo Errejón,Diputado,Verdad a medias
"“Si Djokovic no está vacunado, lógicamente no podrá participar en un torneo en Madrid, puesto que las normas están para cumplirlas”",Enrique Ruiz Escudero,Consejero de Sanidad de la Comunidad de Madrid,Falso
“En los últimos 10 meses se han incorporado nada más y nada menos que al mercado laboral de nuestro país dos millones de personas”,Pedro Sánchez,Presidente del Gobierno,Engañoso
“Desde hace ya años el Gobierno de España les debe a los castellanos y leoneses 182 millones de euros del IVA que no le da la gana de pagar a Sánchez”,Javier Maroto,Portavoz del PP en el Senado,Verdad a medias
“Tenemos una exportación de productos cárnicos anual de 12.200 millones de euros que supone aproximadamente el 21% del total de la exportación agroalimentaria”,Luis Planas,"Ministro de Agricultura, Pesca y Alimentacion",Verdad a medias
"“En el último año, a pesar de la pandemia, el sector TIC ha creado 15.000 nuevos puestos de trabajo, lo que supone un incremento del 13%”",Jordi Puigneró,Vicepresidente de Cataluña,Engañoso
“Seis de cada 10 MIR están viniendo a Madrid”,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
“No hay un solo Gobierno autonómico en España que no haya cambiado a toda su Consejería de Sanidad”,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
"“Cuando los irlandeses intentaban hacer un referéndum de autodeterminación para Irlanda, ¿qué contestaba el Imperio británico? Que no. ¿Y qué acabó ocurriendo? Que hubo un referéndum de autodeterminación para Irlanda""",Oriol Junqueras,Presidente de Esquerra Republicana de Catalunya,Engañoso
"“Estás en la comunidad autónoma con la menor mortalidad por el virus desde que empezó la pandemia casi hace dos años, con la menor mortalidad por 100.000 habitantes”",Alberto Núñez Feijóo,Presidente de Galicia,Falso
“No sé si hay otras comunidades autónomas que han levantado dos hospitales públicos”,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Engañoso
"“Como ya hicimos el 7 de junio, España fue el país, el primer país, que abrió el mercado británico”",Reyes Maroto,Ministra de Industria. Comercio y Turismo,Falso
"“Ha sido este Gobierno el que les ha subido los salarios [a la Policía] un 24%. (...) El Gobierno del PP que tanto les apoya ahora, por lo visto, no les apoyaba nunca en la mejora de las condiciones laborales”",Enrique Santiago,Secretario de Estado para la Agenda 2030,Verdad a medias
"“[Con un simple cambio en la ley electoral, que elimine] la sobrerrepresentación que tienen los separatistas en el Congreso se podrían resolver muchas cosas”",Inés Arrimadas,Presidenta de Ciudadanos,Engañoso
"“Somos el país con más inflación de la Unión Europea, ya en el 5,5%”",Pablo Casado,Presidente del PP,Engañoso
"“Somos la segunda comunidad autónoma con el gravamen autonómico de IRPF más bajo de España, detrás de Madrid”",Alfonso Fernández Mañueco,Presidente de la Junta de Castilla y León,Verdad a medias
“Pero afortunadamente en nuestro país hay un 90% de población vacunada. Somos el primer país del mundo en población vacunada”,Felipe Sicilia,Portavoz adjunto del PSOE en el Congreso,Engañoso
"""Tenemos 16.000 jóvenes menos (en paro) que cuando hemos llegado al Ministerio de Trabajo. Llegamos al Ministerio de Trabajo y la cifra de paro juvenil era del 41%. Hoy es del 30%.""",Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Engañoso
“En Cataluña se han creado más empresas este año que las que se han creado en Madrid”,Roger Torrent,consejero de Empresa y Trabajo de la Generalitat de Cataluña,Verdad a medias
"""España hoy cuenta con una Cámara de diputados que es la más paritaria del conjunto de la Unión Europea con 166 mujeres parlamentarias""",Pedro Sánchez,Presidente del Gobierno,Falso
"“Cuando se fue [el PP] y entró el Gobierno de coalición faltaban 20.000 policías en plantilla, en Guardia Civil y Policía. A día de hoy prácticamente están recuperados”",Juan Antonio Delgado,Diputado,Engañoso
"""Las comunidades han abierto más de 170 embajadas a pesar de no tener esa competencia”",Alberto Rodríguez Almeida,Diputado,Engañoso
"""[En Cataluña] Privación material severa: 6,2, la más alta de España""",Alícia Romero,Portavoz del PSC en el Parlament catalán,Engañoso
“Javier Maroto nunca ha llegado a acuerdos con Bildu”,Cuca Gamarra,Diputada,Falso
“Veo a la derecha votar en contra de la revalorización de las pensiones o votar en contra del ingreso mínimo vital o votar en contra de las becas”,Pedro Sánchez,Presidente del Gobierno,Engañoso
"“Si tú tienes un coche que no es eléctrico, que no es híbrido, y entras en la M-30, multa”",Rocío Monasterio,Diputada en la Asamblea de Madrid,Engañoso
"“Otra subida en el impuesto sobre sucesiones (...) en las CCAA gobernadas por el PSOE y sus socios –sí, solo en esas–, porque en todas las comunidades del PP ya hemos bonificado el impuesto sobre sucesiones al 99%""",Javier Maroto,Portavoz del PP en el Senado,Engañoso
"“Cataluña es la única comunidad autónoma que ha resistido el 19% del PIB, que ha resistido su volumen económico respecto a toda España. Todas las otras, excepto Madrid, obviamente (...) han bajado"".",Miriam Nogueras,Diputada,Engañoso
“Baleares ha sido la comunidad autónoma (...) que más plazas públicas de Formación Profesional ha creado desde el año 2018 (...). Ha aumentado un 35%”,Pilar Alegría,Ministra de Educación y Formación Profesional,Engañoso
“Carmena prometió 3.000 viviendas de protección oficial y entregó 65. (...) Begoña Villacís ha entregado 1.000”,Edmundo Bal,Diputado y Portavoz de CS,Engañoso
"Venimos de una trayectoria en la que España ha ejecutado muchos menos fondos europeos de los que podría. Si uno revisa la serie histórica, cada año España ha dejado en un cajón mucho dinero sin ejecutar",Inés Arrimadas,Presidenta de Ciudadanos,Engañoso
"""¿Qué legislación han aplicado entonces en esta materia? [...] ¡La reforma laboral del Partido Popular! ¿Los ERTE quién los puso en marcha? ¡El Partido Popular! ¡Los ERTE que usted ha puesto en marcha!""",Teodoro García Egea,Secretario general del PP,Engañoso
"“Ahora mismo tenemos menos policía que cuando se hicieron los Juegos Olímpicos y, en cambio, tenemos muchos más visitantes en la ciudad”",Elsa Artadi,Diputada del Parlament de Catalunya,Engañoso
[Eslovenia] es un país que hizo hace 30 años un referéndum unilateral y que proclamó la independencia unilateralmente,Albert Botran,Diputado,Verdad a medias
"""Ha traído las vacunas la Unión Europea y las han administrado las autonomías sin que ni siquiera ustedes tengan un plan de vacunación""",Pablo Casado,Presidente del PP,Falso
"“Incluso sin haber llegado al 50% de nuestra población vacunada, ya empezamos a donar a terceros países”",Pedro Sánchez,Presidente del Gobierno,Falso
“Una inflación que ya hace que la energía cueste un 30% más y el pan cueste un 20% más”,Pablo Casado,Presidente del PP,Engañoso
"“[La multa por la Directiva Europea 2016/680] ha sido la primera vez que se ha impuesto una doble sanción a un Estado miembro""",Miriam Nogueras,Diputada,Engañoso
"“[El primer ministro de Canadá] dice «buenos días, buenas tardes» en francés y después sigue en inglés”",Miquel Iceta,Ministro de Cultura y Deporte,Engañoso
“En 2006 el diputado Aragonès entró en el Parlament para hacer presidente a José Montilla”,Francesc de Dalmases,Diputado en el Parlament de Cataluña,Engañoso
"“La mayoría de resoluciones del Parlament de Catalunya eran las que presentó el PSC y que fueron aprobadas con mayorías diversas, aprobamos cosas con Junts, con Esquerra Republicana y con En Comú Podem”",José Zaragoza,Diputado,Engañoso
“Navarra con UPN fue la Comunidad con menos paro de España. Con el PSOE y su tropa nacionalista es la séptima”,Sergio Sayas,Diputado,Verdad a medias
“Una cesta de compra que se ha encarecido un 15% en lo que va de año”,Iván Espinosa de los Monteros,Portavoz de Vox en el Congreso,Engañoso
“El Reglamento del Parlament de Catalunya que se modificó a instancias de Ciudadanos”,Carlos Carrizosa,Presidente del grupo de Ciudadanos en el Parlament,Falso
"“En los presupuestos de Sánchez no aparece ni el tercer carril A-7, ni el Arco Norte, ni el Arco Noroeste”",Fernando López Miras,Presidente de la Región de Murcia,Falso
"“El Gobierno no ha sido capaz de ejecutar mucho, de los fondos que teníamos de cohesión territorial en los últimos siete años han ejecutado un 42%”",Pablo Casado,Presidente del PP,Verdad a medias
[En referencia a Pedro Sánchez] “Sube la cotización de autónomos un 20%”,Pablo Casado,Presidente del PP,Falso
“[España es] el único país del mundo [...] que muestra diferencia entre hombres y mujeres a la hora de juzgar un cierto comportamiento”,Iván Espinosa de los Monteros,Portavoz de Vox en el Congreso,Falso
"[Sobre la red viaria en la UE]: “De los 27 Estados miembros, 24 ya tienen aplicado un sistema de tarificación”",Raquel Sánchez,"Ministra de Transportes, Movilidad y Agenda Urbana",Verdad a medias
“El señor Puigdemont huyó de la justicia en el momento en el que fue reclamado por la justicia”,Nacho Martín Blanco,Portavoz del Grupo Parlamentario de Ciudadanos en el Parlament de Catalunya.,Engañoso
"“El Gobierno ha hecho un esfuerzo muy importante por traer a la cámara en tiempo y forma unos Presupuestos. No venía siendo habitual en los últimos ejercicios del anterior ejecutivo. Este gobierno lo hizo el pasado año, lo hemos vuelto a hacer ahora”",Isabel Rodríguez,Portavoz del Gobierno y ministra de Política Territorial,Engañoso
"""Tenemos la tasa de paro juvenil más alta de la historia y la tasa de paro, si contamos también a la gente que está en ERTE, el mayor número de desempleados de la historia de España”",Iván Espinosa de los Monteros,Portavoz de Vox en el Congreso,Falso
"""De los 40.000 millones previstos para los préstamos ICO en inversión solo se han concedido 8.000, el 20%""",Cuca Gamarra,Diputada,Verdadero
[Pregunta a Aragonès] “Cómo valora que Cataluña sea líder en delincuencia en el conjunto de España”,Alejandro Fernández,Diputado del PP en el Parlament,Engañoso
“Nueve de cada 10 vacunas que llegan a Latinoamérica vienen de España”,Carolina Darias,Ministra de Sanidad,Engañoso
"“[Al PP] lo hemos visto votando en contra de los reales decretos de escudo social, en contra de las prohibiciones de cortes de suministros”",Ione Belarra,ministra de Derechos Sociales y Agenda 2030,Verdad a medias
“En la Región de Murcia financiamos la totalidad de la compra de la primera vivienda para jóvenes. Tenemos una línea de avales específica para ello”,Fernando López Miras,Presidente de la Región de Murcia,Engañoso
“España es el país del mundo con mayor tasa de propiedad de vivienda”,Iván Espinosa de los Monteros,Portavoz de Vox en el Congreso,Falso
“Hay (...) un total de cuatro millones de personas en paro”,Pablo Casado,Presidente del PP,Falso
"“La gente está preocupada porque hay más desahucios, cuando prometió Sánchez que iba a haber vivienda para todos”",Pablo Casado,Presidente del PP,Falso
"“Andalucía es la comunidad, superando a Cataluña, con más trabajadores autónomos de España”",Juan Manuel Moreno,Presidente de Andalucía,Verdad a medias
“El rescate a los bancos del Gobierno del PP le ha costado más de 65.000 M€ a los españoles”,José Zaragoza,Diputado,Falso
“Hace 90 años España aprobó el derecho al voto de las españolas. Y el PSOE y resto de izquierda votó no”,Cuca Gamarra,Diputada,Falso
"“Desde que está este Gobierno, desde junio, el número de homenajes a miembros de la organización terrorista ETA ha decrecido sustancialmente. En 2017 fueron 70, datos del observatorio Covite; en el año 2019 fueron 20”",Fernando Grande-Marlaska,Ministro del Interior,Verdad a medias
"“Fue Felipe González quien inició la venta y la privatización de Endesa, y la culminó Zapatero”",Juan Diego Requena Ruiz,Diputado,Engañoso
"""En el 83% de las agresiones (sexuales) son detenidos los responsables""",Joan Ignasi Elena,Conseller de Interior de la Generalitat de Catalunya,Engañoso
“Como Barcelona [...] somos la única Administración que ha creado una unidad antidesahucios”,Ada Colau,Alcaldesa de Barcelona,Verdad a medias
“El 40% del empleo creado este verano (en España) ha sido en Andalucía”,Juan Marín,Vicepresidente de Andalucía,Falso
"""Desde que Pedro Sánchez es presidente y gobierna con Podemos, las ocupaciones se han incrementado en un 45% (las ocupaciones ilegales)""",Cristina Esteban,Diputada,Falso
"“Madrid es deporte. Y no puede ser que sea la única capital europea que no haya tenido unos Juegos Olímpicos, salvando Lisboa”",Begoña Villacís,Vicealcaldesa de Madrid,Falso
"“La cifra en toda nuestra historia del número de mujeres con contrato laboral fijo se alcanzó con el PP, con un gobierno de Mariano Rajoy”",Javier Maroto,Portavoz del PP en el Senado,Engañoso
"“En Reino Unido (...) los casos de transexualidad infantil se han multiplicado por 44 en tan solo una década. En Estados Unidos, se cuadruplicaron solo en dos años, 2016 y 2017”",Macarena Olona,Diputada,Falso
"“El PP formula, para el Pleno de control de esta semana, varias preguntas sobre el precio de la luz y (...) el Gobierno ha pospuesto esas preguntas porque incomodan”",Javier Maroto,Portavoz del PP en el Senado,Falso
"“Casi el 10% del presupuesto municipal se va a limpieza y no ha parado de aumentar este presupuesto. No se ha recortado, al contrario”",Ada Colau,Alcaldesa de Barcelona,Engañoso
"“Antes de la pandemia, Sánchez se fundió 20.000 millones de euros en anuncios electorales en plena campaña electoral”",Pablo Casado,Presidente del PP,Falso
“El derecho a huelga nunca tuvo que ser tipificado como delito. La absolución de hoy de Diego Cañamero y Pedro Ruiz es una buena noticia”,Ione Belarra,Ministra de Derechos Sociales y Agenda 2030,Falso
“Por primera vez en los últimos años habrá ayudas directas a la contratación de jóvenes y personas paradas mayores de 50 años”,Pere Aragonès,President de la Generalitat,Engañoso
“La brecha salarial entre hombres y mujeres en Cataluña es la más alta de todo el Estado”,Jéssica Albiach,Diputada del Parlament de Cataluña,Falso
"“Si cogemos los datos del personal enfermero de Cataluña, hay más de un 40% que tienen más de 55 años”",Gemma Geis I Carreras,Consellera de Investigación y Universidades de la Generalitat de catalunya,Falso
“Las eléctricas literalmente utilizan para generar energía en este país un 1% de gas. El 99% es el agua de los embalses. Y se cobra la factura al 100% del precio del gas”,Gabriel Rufián,Portavoz de ERC en el Congreso,Falso
“La dieta mediterránea se está abandonando. Más del 70% de la población la ha abandonado ya de una manera u otra“.,Alberto Garzón,Ministro de Consumo,Engañoso
"“Todas las comunidades autónomas han contratado más profesorado para afrontar el curso escolar. Todas menos tres: Murcia, Madrid y Andalucía.”",Martina Velarde,Diputada,Engañoso
“El paro juvenil ya está por debajo de los niveles prepandemia”,Nadia Calviño,Vicepresidenta del Gobierno,Engañoso
"“[Cataluña es] la región con más paro, con más incremento de paro”",Joan Garriga,Portavoz de Vox en el Parlament de Catalunya,Falso
"“La oposición lo apoya responsablemente, cosa que jamás hicieron ellos [el PSOE] con ninguna operación militar”",Pablo Casado,Presidente del PP,Engañoso
"“[El Gobierno andaluz] acaba de proponer una ley de infancia que garantiza las pagas a los menas hasta los 25 años""",Santiago Abascal,Presidente de Vox,Falso
"“No puede ser que en Ourense haya dos pensionistas por cada cotizante, eso es insostenible”",Pablo Casado,Presidente del PP,Engañoso
"“La aviación produce un 4% del CO₂, mientras que el transporte por carretera supone el 74%”",Alícia Romero,Portavoz del PSC en el Parlament catalán,Engañoso
"“Si se hace un análisis de la gente que ha muerto por gripe en los últimos meses, esta cantidad supera con creces a las que han fallecido por COVID-19”",Elena Amaya,Alcaldesa de Puerto Real,Falso
“Como Estado atraeremos muchas más multinacionales (ahora en CAT tenemos el 46% del Estado)”,Joan Canadell,Diputado en el Parlament de Cataluña,Engañoso
“Todos los presidentes del Gobierno de España lo primero que hacen es visitar Marruecos. Todos menos Sánchez”,Javier Maroto,Portavoz del PP en el Senado,Engañoso
“Barcelona hace años que es la ciudad de toda España con más inversión social”,Ada Colau,Alcaldesa de Barcelona,Verdad a medias
"""Occidente ya ha reducido sus emisiones 25% desde 2005. China y la India las han casi triplicado""",Francisco J. Contreras,Diputado,Engañoso
"""El Gobierno se ha quedado con el 66% de los fondos [europeos] (...) y va a distribuirlos con unos criterios totalmente arbitrarios, el 33% a las comunidades""",Juan Marín,Vicepresidente de Andalucía,Falso
"“(A Juan Carlos I) Porque insisto, no se le investiga por ninguna cuestión, no está imputado por ninguna cuestión”",Antonio González Terol,Diputado,Verdad a medias
"“Hay muchísima gente que, por ejemplo, ostenta la alcaldía de un pueblo pequeño de Cataluña y que simplemente por abrir el colegio electoral el 1-O tiene una causa abierta”",Gabriel Rufián,Portavoz de ERC en el Congreso,Engañoso
"“En Madrid, Barcelona, Valencia, Sevilla, donde en seis ciudades viven el 80% de los ciudadanos de España, y eso es un desastre”",Miguel Ángel Revilla,Presidente de Cantabria,Engañoso
"“Nuestros jubilados, en la mayor parte de los casos, perciben una pensión que no supera los 700 euros al mes”",Macarena Olona,Diputada,Falso
"“En Andalucía, hace poco, Juanma Moreno llevó la ley del suelo al Parlamento de Andalucía (...) Vox votó en contra y la ley del suelo no salió adelante”",Teodoro García Egea,Secretario general del PP,Falso
“Vox el otro día votó en contra de que invitaramos a los Reyes a venir a Ceuta en estos momentos tan difíciles”,Juan Jesús Vivas,Presidente de Ceuta,Engañoso
"""Nosotros somos la Comunidad con respecto a la población más exportadora de España""",Ximo Puig,Presidente de la Generalitat Valenciana,Falso
"“Tenemos los mayores índices de abandono escolar, los mayores índices de fracaso escolar y de segregación escolar; somos los campeones en tres datos que también nos tendría que avergonzar”",Alícia Romero,La portavoz del PSC en el Parlament catalán,Falso
“Pero por qué los políticos quieren nombrar a 12 vocales del Consejo de extracción judicial que la Constitución dice claramente que tienen que ser elegidos directamente por los jueces”,Pablo Casado,Presidente del PP,Falso
"Sobre las recomendaciones de Garzón: “Si miramos los datos desde el año 2012, el consumo per cápita de carne en España ha disminuido claramente, salvo en el pico del confinamiento”",Luis Planas,"Ministro de Agricultura, Pesca y Alimentacion",Verdad a medias
"“El Consejo General del Poder Judicial lleva dos años y medio caducado, algo que constituye una anomalía sin precedentes”",Pablo Fernández,Secretario general de Unidas Podemos en Castilla y León,Verdad a medias
"“Estallidos en Perú, donde han votado 44.000 muertos”",Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
“Pedro Sánchez dijo que iba a vacunar al 70% de la población antes del verano (...) De nuevo el presidente del Gobierno ha fallado”,Teodoro García Egea,Secretario general del PP,Falso
"“Asturias tiene ya más del 60% de su población con pauta completa de vacunación. Es decir, al nivel de Israel, el país del mundo que mayor porcentaje de población tiene con pauta completa”",Adrián Barbón,Presidente de Asturias,Engañoso
“No ha habido ningún país de Europa con mayor incidencia de muertes por habitante (que España)”,Pablo Casado,Presidente del PP,Falso
"“En número de estaciones, el Metro de Madrid tiene más que ciudades tan importantes como Londres, Nueva York, Shanghai o París”",Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
"“Somos la única comunidad que publica los datos periódicamente de la situación de las listas de espera tanto quirúrgica, como diagnóstica, como de primeras consultas”",Enrique Ruiz Escudero,Consejero de Sanidad de la Comunidad de Madrid,Engañoso
“El Partido Popular ni siquiera nos acompañó en los decretos en los que el Ministerio de Trabajo y Economía Social defendía el mayor mecanismo de protección social como eran los ERTE”,Yolanda Díaz,Ministra de Trabajo y Economía Social,Engañoso
“Nunca hay que olvidar que España es el principal inversor extranjero en Marruecos”,Pedro Sánchez,Presidente del Gobierno,Falso
"Un examen de los países de nuestro entorno nos lleva a constatar, leyendo las figuras delictivas equivalentes a los delitos de rebelión y sedición, que son penados con penas mucho más graves que las del ordenamiento jurídico español",Macarena Olona,Diputada,Engañoso
"“Los últimos datos de empleo que hemos conocido, uno de cada tres empleos que se genera en España se generan en Andalucía""",Inés Arrimadas,Presidenta de Ciudadanos,Engañoso
"“Yo puedo hacer una lista electoral y que sean todos hombres, pero la mitad se declaren mujeres. Eso ha pasado en La Rioja ya”",Rocío Monasterio,Diputada en la Asamblea de Madrid,Falso
"“En los últimos Presupuestos Generales del Estado, Madrid fue la que menos inversión por habitante recibió”",Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
"“Vox no consiguió ni un solo diputado en la Comunidad Autónoma donde gobierno (Galicia), Vox no tiene un solo concejal en ningún Ayuntamiento de los 313”",Alberto Núñez Feijóo,Presidente de Galicia,Verdadero
"“El problema (de Cataluña) son las listas de espera sanitarias, que van muy mal, el 16% del fracaso escolar, o la marcha de 7.000 empresas por el ‘procés’”",Pablo Casado,Presidente del PP,Engañoso
“España es el país que más dosis ha administrado por cada 100 habitantes”,Pedro Sánchez,Presidente del Gobierno,Falso
“Esta autodeterminación de género está directamente COPIADA DE LA LEY DEL PARTIDO POPULAR en la Comunidad de Madrid”,Iván Espinosa de los Monteros,Portavoz de Vox en el Congreso,Engañoso
“Hace semanas me temí que Ábalos mentía diciendo que cumplía con la UE imponiendo peajes en autovías”,José Ramón Bauzá,Eurodiputado,Engañoso
"“Con el gobierno de Rajoy, uno de cada cuatro indultos era por corrupción. Uno de cada cuatro”",Jaume Asens,Diputado,Falso
“El número de empresas exportadoras regulares pasó en 6 años de 1.400 a 17.000. De 1.400 a 17.000. Esto implica que el 25% de todas las exportaciones del estado salen de Cataluña”,Jaume Giró,Consejero de Economía y Hacienda de la Generalitat de Catalunya,Engañoso
"""Somos la región (Madrid) con menor tiempo de espera en cirugía""",Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
“Somos el único país de Europa en el que no se ha votado el Fondo de Reconstrucción Europeo”,Pablo Casado,Presidente del PP,Falso
"“Cuando Aznar indultó a 15 terroristas de Terra Lliure, ¿humilló a España?”",Miquel Iceta,Ministro de Política Territorial y Función Pública,Verdad a medias
“Es objetivamente cierto que el Código Penal español es uno de los códigos penales que tiene las penas más altas en general y tenemos las cárceles más llenas como consecuencias de estas penas elevadas”,Lourdes Ciuró,Consejera de Justicia de la Generalitat de Cataluña,Engañoso
"(Sobre los centros de atención primaria) “Me decían: van a cerrar en Vallecas. Pero es que el año pasado precisamente, en el Ensanche, inauguramos uno”",Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
"“Cuando la ultraderecha gana en Europa, no la frena solo la socialdemocracia, sino que la frena también la derecha”",Gabriel Rufián,Portavoz de ERC en el Congreso,Engañoso
"“[En la primera mesa de negociación] no [había gente que no estaba en el Govern]. Formaban parte del gobierno extenso; eran directores generales o tenían responsabilidades. No eran consejeros, pero formaban parte del gobierno. [Josep Maria Jové] sí formaba parte [del Govern]”",Salvador Illa,Líder del grupo parlamentario socialista en el Parlament catalán,Falso
