clasificacion,,texto,
Falso,Un gendarme afirmó q,Un gendarme afirmó que Bullrich le ordenó matar a Santiago Maldonado,
Falso,El sitio Modo Notici,"El sitio Modo Noticias publicó una nota donde consigna que un gendarme señala que la ministra de Seguridad le ordenó asesinar al joven artesano. Sin embargo, eso es falso ya que el efectivo nunca declaró eso durante una entrevista que concedió al Canal 4 de Esquel.",
Falso,Juliana Awada padece,Juliana Awada padece una enfermedad mortal,
Falso,La noticia falsa afi,"La noticia falsa afirma que la primera dama sufre una enfermedad terminal. Sin embargo, desde la Unidad Médica Presidencial desmintieron esta información.",
Falso,Florencia Peña fue g,Florencia Peña fue golpeada por su ex pareja,
Falso,Un texto afirma que ,"Un texto afirma que la actriz tuvo que ser hospitalizada luego de que su ex pareja la golpeara. Sin embargo, esto es falso: el día en el que supuestamente habría ocurrido este hecho la actriz se encontraba grabando una serie y publicó una foto en la que se la ve sin marcas.",
Falso,Un comunicado oficia,"Un comunicado oficial confirma el diagnóstico. En los últimos días, el Presidente se realizó una resonancia magnética y, según informaron, no precisa ningún tratamiento.",
Falso,El Gobierno anunció ,El Gobierno anunció que el Fondo Nacional de Incentivo Docente dejará de existir,
Verdadero,En Facebook se compa,"En Facebook se comparte una noticia que señala que el aporte que hace el Ministerio de Educación nacional a los salarios de los docentes provinciales dejará de existir en 2019. Sin embargo, fuentes oficiales y alternativas desmintieron la información.",
Falso,"Página/12, sobre la ","Página/12, sobre la Ley de Trombofilia: “Otra ley que no pasó el veto”",
Falso,El proyecto se había,"El proyecto se había aprobado en noviembre de 2016, pero en diciembre de ese mismo año Mauricio Macri lo vetó. Ese mismo año el Presidente dejó sin efecto otros cuatro proyectos de ley.",
Falso,La comunidad judía c,La comunidad judía compró tierras en la Patagonia para fundar un “segundo Israel”,
Verdadero,La noticia falsa afi,"La noticia falsa afirma que se vendieron tierras para cancelar la deuda con el FMI y el Banco Mundial. Sin embargo, cuando se publicó la nota los acuerdos no estaban firmados y, además, la misma noticia viene siendo publicada en diferentes sitios desde 2013.",
Falso,La producción gasífe,"La producción gasífera aumentó en los primeros meses de 2018, como señaló el Presidente. Pero, luego de una caída constante entre 2007 y 2014, este crecimiento comenzó en el último año del mandato de Cristina Fernández de Kirchner.",
Falso,CFK pidió matar a Ma,CFK pidió matar a Macri,
Verdadero,Se difundió una noti,"Se difundió una noticia sobre una supuesta escucha telefónica en la que la ex mandataria pedía que se matara al actual presidente. La noticia es falsa: en las escuchas que trascendieron Cristina Fernández de Kirchner no afirma eso. Además, la noticia falsa no incluye el supuesto audio al que alude ni da ningún detalle sobre cuándo habría sucedido ni en qué contexto.",
Falso,La cantidad de comer,"La cantidad de comercios cerrados alcanzó su punto más bajo en el primer bimestre del año, cuando el Jefe de Gabinete dijo este dato. Si bien con las cifras del segundo bimestre se registró un aumento, el promedio en lo que va del año todavía está por debajo de los años 2015 y 2016.",
Falso,El jefe de la Gendar,El jefe de la Gendarmería acusó a Macri de planear el homicidio de Maldonado,
Verdadero,Un sitio publicó que,"Un sitio publicó que, según Clarín, un alto cargo de la fuerza federal acusó al Presidente de planificar la muerte del joven artesano, a quien habrían matado y guardado hasta arrojarlo al río. Sin embargo, la nota del diario nunca existió y, según informó la autopsia oficial, Maldonado murió ahogado.",
Falso,"Página 12, sobre el ","Página 12, sobre el rescate en Catamarca: “El Gobierno implementó un salvataje de primera y uno de segunda”",
Falso,El diario señaló que,"El diario señaló que por una decisión oficial los siete funcionarios presidenciales bajaron en helicóptero, mientras que los otros seis tripulantes lo hicieron caminando junto con los rescatistas. Sin embargo, las fuentes involucradas en el rescate aclararon que fue por cuestiones climáticas y que no hubo un tratamiento especial sino que se hizo analizando el riesgo de vida y el nivel de instrucción.",
Falso,CFK llamó a derrocar,CFK llamó a derrocar al gobierno de Mauricio Macri,
Falso,El texto de la notic,"El texto de la noticia falsa del sitio InfoVanguardia no dice lo mismo que el título. En ninguna parte del discurso citado, que es de 2016, se llama a hacer un golpe de Estado.",
Falso,La gobernadora bonae,"La gobernadora bonaerense dijo esta frase al criticar la creación de nuevas universidades en la Provincia de Buenos Aires. Sin embargo, el número de estudiantes del sector de menos ingresos que asisten a universidades creció en el Conurbano en los últimos años.",
Falso,"Dujovne, sobre la Le","Dujovne, sobre la Ley de Emergencia Tarifaria: “[Tiene] un costo fiscal enorme: 115 mil millones de pesos”",
Falso,La estimación oficia,"La estimación oficial está basada en el proyecto inicial, que tuvo modificaciones antes de convertirse en ley. Otro cálculo oficial da un menor costo fiscal, pero tampoco abarca todos los cambios en el sistema tarifario dispuestos por el Congreso en la ley vetada por el Presidente.",
Falso,Sofía Gala amenazó c,Sofía Gala amenazó con golpear a Antonia Macri si no se aprueba la despenalización del aborto,
Falso,Las declaraciones fa,"Las declaraciones falsas fueron publicadas la misma semana que se inició el debate para legalizar la interrupción voluntaria del embarazo. La actriz desmintió el contenido en sus redes y también lo hizo su mamá, Moria Casán.",
Falso,Los datos muestran q,"Los datos muestran que los subsidios benefician más relativamente a los ricos, aunque en un porcentaje cercano al 30%, menor al marcado por el senador nacional.",
Falso,Hebe de Bonafini ten,Hebe de Bonafini tendrá que devolver US$8 millones,
Falso,Un sitio publicó un ,"Un sitio publicó un título que señala que la presidenta de Madres de Plaza de Mayo deberá devolver este monto que le “robó al Estado”. Sin embargo, al interior de la nota no se hace ninguna referencia a esos US$ 8 millones ni a ninguna otra cifra que Bonafini tenga que entregar al Estado.",
Falso,"Urtubey, sobre el ab","Urtubey, sobre el aborto: “En 2012, Salta elaboró un protocolo como consecuencia del fallo de la Corte por la inexistencia de uno nacional”",
Falso,La Provincia sancion,"La Provincia sancionó un protocolo tras el fallo de la Corte y antes que el Ministerio de Salud de la Nación, pero esa guía restringía el acceso a la interrupción del embarazo y no cumplía con los estándares establecidos por el máximo tribunal.",
Falso,El Gobierno dejó sin,El Gobierno dejó sin hospedaje a familiares de pacientes del Garrahan,
Falso,El beneficio no se d,"El beneficio no se dejó de otorgar, sino que ahora lo cubre el Ministerio de Salud de la Nación y no el de Desarrollo Social. Hubo demoras en los pagos pero no se registró ningún caso de familiares sin alojamiento.",
Falso,Desde la asunción de,Desde la asunción de Cambiemos hay cinco mil PyMEs menos,
Falso,El indicador que mid,"El indicador que mide la cantidad de bebés fallecidos cada mil nacidos disminuyó entre 2016 y 2017, durante la gestión de María Eugenia Vidal. Además, el último trienio es el más bajo de toda la serie.",
Falso,María Eugenia Vidal ,María Eugenia Vidal fue agredida y después hospitalizada,
Verdadero,En Facebook se compa,"En Facebook se comparte una noticia falsa que señala que la gobernadora de la Provincia de Buenos Aires fue golpeada e insultada, y que posteriormente fue llevada de emergencia al hospital. La nota fue desmentida por fuentes oficiales y la imagen corresponde a una mujer mexicana.",
Falso,El 40% mencionado po,"El 40% mencionado por el diputado nacional no sólo incluye las boletas de agua, gas y luz -como dio a entender-, sino también el alquiler, las expensas, los costos de comunicaciones y el transporte. Además, incluso considerando el alquiler, no se llega al 80 por ciento.",
Falso,Le pagaron a alguien,Le pagaron a alguien para hacerse pasar por el nieto de Estela de Carlotto,
Falso,Un sitio publicó una,"Un sitio publicó una nota que afirma que el “nieto trucho” de la directora de Abuelas de Plaza de Mayo reveló cuánto cobró “por participar en el fraude”. Sin embargo, la nota no incluye una denuncia del implicado en este sentido ni menciona ninguna cifra.",
Falso,"Macri, sobre el défi","Macri, sobre el déficit fiscal: “[Es] algo que la Argentina no logra [equilibrar] hace más de 70 años”",
Falso,Los datos oficiales ,"Los datos oficiales de los últimos 60 años muestran que en la mayoría hubo déficits, aunque este indicador -ya sea con la vieja o con la nueva metodología- aumentó bajo la gestión de Cambiemos.",
Verdadero,El consumo del Área ,"El consumo del Área Metropolitana de Buenos Aires es superior al de la capital uruguaya. Sin embargo, el país vecino tiene una matriz energética muy distinta y parte de las necesidades de los hogares de cubren con otro tipo de energías y no con gas de red.",
Falso,La represa Yacyretá ,La represa Yacyretá haya sido destruida,
Falso,Se publicó una nota ,"Se publicó una nota donde se pide evacuar la costa del río Paraná por el colapso de la central hidroeléctrica. Sin embargo, los especialistas, la empresa mixta a cargo de la represa y las características del sitio que la difundió permiten afirmar que se trata de una información falsa.",
Falso,Suecia va a pagar un,Suecia va a pagar un sueldo a las abuelas por cuidar a sus nietos,
Falso,Circula en las redes,"Circula en las redes sociales una noticia sobre una subvención para las adultas mayores en dicho país. Sin embargo, no hay ningún proyecto de ese tipo y, además, la nota cita a un funcionario cuyo cargo no existe en el organigrama del Gobierno sueco.",
Falso,"Lombardi, sobre el M","Lombardi, sobre el Mundial de Rusia 2018: “La gestión anterior había pagado US$19 millones. Nosotros pagamos US$3 millones por la misma cantidad de partidos [que en 2014]”",
Falso,La gestión anterior ,"La gestión anterior pagó ese monto por el Mundial de Brasil, mientras que el acuerdo actual estipula un pago con recursos públicos por US$ 3 millones y al menos US$ 5 millones que el Estado cede en espacios publicitarios. Sin embargo, el contrato de 2014 incluyó los 64 partidos del certamen y el de 2018 sólo incluye 32.",
Falso,"Dujovne, sobre tarif","Dujovne, sobre tarifas: “El proyecto de la oposición genera un costo fiscal superior a los $100 mil millones por año”",
Falso,Si bien la oposición,"Si bien la oposición realizó modificaciones que disminuyeron el impacto que tendría la ley, las estimaciones realizadas en base al texto inicial por fuentes oficiales y alternativas calculaban un costo de entre $80 mil y $100 mil millones al año.",
Falso,Buenos Aires tiene u,"Buenos Aires tiene un mayor consumo que las ciudades mencionadas por el Presidente. Sin embargo, la matriz energética en estos países es muy distinta: parte de las necesidades de los hogares en Uruguay y Chile son cubiertas por otro tipo de energía y no por el gas de red.",
Falso,Los datos muestran q,Los datos muestran que al comparar ambos países y sus capitales lo que dijo la ministra es correcto. Un análisis del sitio de fact-checking de Uruguay.,
Falso,Si bien la Ciudad no,"Si bien la Ciudad no impuso por sí misma ningún impuesto específico a las tarifas, existe una contribución originada por un acuerdo de la Nación con las prestadoras de electricidad que pagan los usuarios porteños y por la que el gobierno local prevé recaudar casi $1.000 millones.",
Falso,La tasa de investiga,"La tasa de investigaciones por homicidios dolosos cayó de 7,3 a 5,3 entre 2015 y 2017, es decir, un 27 por ciento. Si se mira la evolución en el tiempo, es el número más bajo desde 2009.",
Verdadero,La cifra surge de da,"La cifra surge de datos oficiales del Ministerio de Salud de la Nación. Esto representa un 30% del total de muertes de mujeres gestantes en este periodo, y en la mayoría de los años fue la principal causa individual de fallecimientos de embarazadas en el país.",
Verdadero,El cálculo de la int,"El cálculo de la intendenta de La Matanza no tiene en cuenta la inflación. Si se analiza la deuda como porcentaje de la recaudación o del tamaño de la economía provincial, como recomiendan los especialistas, en los últimos dos años la deuda creció, pero menos: entre un 20 y un 26 por ciento.",
Falso,Las exportaciones e ,"Las exportaciones e importaciones entre la Argentina y España aumentaron un 15% en 2017 y alcanzaron el mayor monto desde 2013. Luego de caer todos los años desde 2011, en los últimos dos años, durante la gestión de Cambiemos, el intercambio comercial volvió a crecer.",
Verdadero,Los datos oficiales ,"Los datos oficiales coinciden con la cifra mencionada por el ex funcionario y mejoraron respecto de algunos años del gobierno anterior. Además, a la mayoría de los detenidos en prisión preventiva no se los acusa por delitos de corrupción, como a Zannini, sino por violación a la ley de drogas.",
Verdadero,"Efectivamente, el pe","Efectivamente, el peso de la deuda sobre el PBI ubica a la Argentina en el puesto 91 sobre 186 países del mundo. Pero tanto la deuda total como con privados y organismos multilaterales creció en lo que va de la gestión de Cambiemos y se ubica en los niveles más altos desde 2009.",
Verdadero,Según los últimos da,"Según los últimos datos de la OCDE, la Argentina es el segundo país con mayor presión tributaria de la región, sólo superado por Cuba. Desde la asunción de Cambiemos este indicador tuvo la caída más significativa de los últimos 20 años.",
Verdadero,Las compras desde el,"Las compras desde el exterior de este combustible registraron un aumento, aunque las fuentes oficiales varían en su dimensión. Si se considera el gas, la principal fuente de energía del país, la importación en lo que va de la gestión de Cambiemos es menor al de la gestión de la ex presidenta.",
Falso,El valor en dólares ,"El valor en dólares de las importaciones de 2017 se encuentra por debajo de esos años, pero las cantidades importadas aumentaron. En este sentido, 2017 fue el año que más productos se importaron desde, por lo menos, 2004.",
Falso,En el último año efe,"En el último año efectivamente la economía creció y el gasto y la inflación bajaron. En el caso del déficit fiscal y la presión tributaria, depende de qué metodología y qué indicador se tome. Con el gasto público, según cómo se mida, esta sería o no la primera vez que suceden estas dinámicas en 100 años.",
Falso,En 2016 y 2017 los s,"En 2016 y 2017 los salarios docentes equipararon a la inflación, aunque si se analiza toda la gestión de la Gobernadora bonaerense, desde diciembre de 2015, los docentes perdieron entre 2% y 4% de poder adquisitivo.",
Falso,Las cifras disponibl,Las cifras disponibles y los estudios de casos muestran que las tasas de mortalidad materna por abortos disminuyeron luego de reformas legales más permisivas.,
Verdadero,El ex gobernador cri,"El ex gobernador criticó el envío de fuerzas federales anunciado por la Nación. La tasa provincial se redujo un 43% en los últimos tres años y no en un 50 por ciento. Además, durante ese período la provincia recibió el apoyo de las fuerzas federales en al menos cuatro oportunidades.",
Falso,El ex titular de la ,El ex titular de la CGT y referente de Camioneros es investigado desde 2006 en al menos una causa de corrupción y está imputado en otros cinco expedientes. No está procesado ni condenado en ninguna causa judicial.,
Falso,El último dato ofici,"El último dato oficial muestra que ese mes se registró el mayor número de trabajadores privados en este sector desde 2009. Pero, si se quitan los efectos estacionales del empleo, noviembre de 2017 no es el pico máximo.",
Verdadero,"Moyano, sobre la ges","Moyano, sobre la gestión de Cambiemos: “Los trabajadores han perdido poder adquisitivo del salario”",
Verdadero,Todas las fuentes de,"Todas las fuentes destacan que el salario real aumentó en 2017, pero todavía no se alcanzó el nivel de 2015, cuando asumió Mauricio Macri la Presidencia de la Nación.",
Verdadero,"Durante su gestión, ","Durante su gestión, el CELS registró al menos 17 casos de gatillo fácil en manos de fuerzas federales en la Ciudad y el Conurbano bonaerense. Además, en 2014 se registró el pico de civiles muertos por fuerzas de seguridad que operan en el Área Metropolitana.",
Falso,"Facundo Moyano, sobr","Facundo Moyano, sobre la reunión del Consejo Directivo de la CGT: “Yo estuve: de 36 gremios, 27 van a acompañar el paro”",
Falso,El Consejo es el órg,"El Consejo es el órgano que decide los paros. Si bien hubo una mayoría de asistentes, los principales gremios en términos de representatividad no fueron y otros consejeros enviaron representantes.",
Falso,Aunque los datos cor,"Aunque los datos corresponden a 2016, la tendencia mencionada es correcta. Sin embargo, el principal cambio no se explica por la sanción de leyes nacionales, como dijo el funcionario del Ministerio de Justicia, sino por el aumento en la cantidad de condenados en la Provincia de Buenos Aires en los últimos diez años.",
Verdadero,En el tercer trimest,"En el tercer trimestre de 2017, último dato disponible, el indicador que mide la inversión nacional tuvo el mayor crecimiento desde 2011. Los especialistas destacan las ventajas y desventajas de que los bienes de capital importados son los que más crecieron en el último año.",
Verdadero,Los datos del tercer,"Los datos del tercer trimestre de 2017 fueron los primeros de la gestión de Cambiemos que superaron el nivel con el que asumió. Este aumento fue leve y se encuentra por debajo de la variación de la población, por lo que el PBI por habitante cayó durante el mandato de Mauricio Macri.",
Verdadero,Los juicios laborale,"Los juicios laborales en la Capital disminuyeron en un 13% desde la sanción de la nueva ley de ART, en relación al mismo periodo del año anterior. Esta baja fue acompañada por un aumento en los juicios en la Provincia de Buenos Aires, donde la nueva norma entró en vigencia este año.",
Falso,Los datos oficiales ,Los datos oficiales muestran un alto porcentaje de empleados públicos que están precarizados. Claves para entender cómo contrata el Estado nacional.,
Verdadero,Los datos disponible,"Los datos disponibles coinciden con el cálculo mencionado por el diputado. Sin embargo, tres de cada cuatro operativos represivos estuvieron a cargo de fuerzas de seguridad provinciales, que dependen de los gobernadores y no del Ministerio de Seguridad de la Nación, que reporta al Presidente.",
Falso,Los fondos ejecutado,"Los fondos ejecutados, que incluyen al Conicet y la CONAE, aumentaron casi 50% en la gestión de Cambiemos, la mitad de lo marcado por Macri. Sin embargo, si se cuenta la inflación de ese período, la ejecución real cayó entre un 9 y un 16 por ciento. También bajó su participación en el gasto total y en el PBI.",
Falso,Los cortes de media ,"Los cortes de media tensión se redujeron en un 13% y los de baja tensión en un 42% si se comparan los últimos dos veranos. Con respecto a la duración de los cortes, los de media tensión se mantuvieron igual y fueron de dos horas promedio.",
Verdadero,Este año se observa ,"Este año se observa una tendencia a la desaceleración con respecto al año anterior, aunque en 2016 y en 2017 se incumplieron las metas oficiales establecidas. Todavía faltan dos años para saber si Jefe de Estado cumplirá o no con esta promesa.",
Verdadero,Los especialistas y ,Los especialistas y los organismos internacionales destacan lo difícil que es comparar las jubilaciones debido a la falta de información y las variables que se deben tener en cuenta. El titular de la ANSES se basó en una comparación que sólo considera a nueve países y no incluye a ningún europeo.,
Falso,El principio de inoc,"El principio de inocencia rige para todos los individuos -no sólo para los funcionarios policiales-, y además el accionar de las fuerzas de seguridad está regulado para limitar el uso de la fuerza.",
Falso,"Según Clarín, “sólo ","Según Clarín, “sólo la mitad de los argentinos con colesterol elevado está bajo tratamiento”",
Falso,La afirmación es par,"La afirmación es parte de las conclusiones de una encuesta de la agencia Kantar TNS y fue levantada en una nota del diario. Sin embargo, el artículo publicado tiene errores conceptuales que resultan en un mensaje alarmista y que fomentan la medicación de individuos sanos.",
Falso,Si bien la tendencia,"Si bien la tendencia marcada por el Presidente es cierta, sólo la mitad de los gremios pueden negociar convenios. Además, no todos los especialistas coinciden en que una menor cantidad de sindicatos implique fortalecer al movimiento sindical.",
Falso,¿Hay países producto,"¿Hay países productores de vino que tienen impuestos especiales para esta bebida, como dijo Dujovne?",
Falso,Las naciones mencion,"Las naciones mencionadas por el ministro (Chile, Estados Unidos y Francia) tienen impuestos internos a esta bebida alcohólica. Pero la situación argentina es particular comparada con esos países por la falta de subsidios planificados y su alto consumo interno.",
Verdadero,Los datos oficiales ,Los datos oficiales confirman lo dicho por el diputado nacional y ex ministro de Economía. Los especialistas destacan la caída del consumo y la apertura comercial como principales causas.,
Verdadero,Si bien la Argentina,"Si bien la Argentina tiene el costo fiscal al trabajo más alto de la región, el trabajador recibe cerca del 65% de lo que le cuesta a la empresa.",
Falso,Los datos muestran q,"Los datos muestran que se exporta más pescados y mariscos que carne vacuna. Desde 2005, nuestro país pasó del tercer al onceavo lugar en el ranking mundial de la exportación ganadera.",
Verdadero,El empleo independie,"El empleo independiente fue el que más creció entre el final de la gestión de Cristina Fernández de Kirchner y el último dato de la Presidencia de Mauricio Macri. Los especialistas coinciden en señalar que, en promedio, se trata del trabajo más precario y de menor productividad.",
Verdadero,Los datos muestran u,"Los datos muestran una baja en la participación de las causas en las que hay involucrados menores, pero se trata de una tendencia que ocurre desde 2013 y no desde el primer año de gestión de María Eugenia Vidal. Si se mira la evolución interanual, en la gestión de Daniel Scioli hubo caídas mayores a la de 2016.",
Falso,Los recursos destina,"Los recursos destinados a este rubro en 2018 son los segundos más altos desde 1993, primer dato disponible, si se calculan sobre el gasto primario. Al observar esta inversión como porcentaje del gasto total y del PBI, es la más alta de la serie.",
Verdadero,La Argentina emitió ,"La Argentina emitió más bonos en el mercado internacional que la potencia asiática. Sin embargo, los especialistas destacan el rol del pago a los fondos buitre y el déficit fiscal heredado de la gestión anterior como determinantes y aclaran que China, como otros países más desarrollados, no se destacan por tomar deuda en el mercado mundial.",
Verdadero,Si bien hay pocos da,"Si bien hay pocos datos actualizados sobre este fenómeno justamente por incluir dinero no declarado, las estimaciones coinciden en que la Argentina es uno de los países del continente y del mundo con más riqueza en el exterior.",
Verdadero,Los montos destinado,"Los montos destinados a financiar al sector energético en 2014, último año completo del gobierno de Cristina Fernández de Kirchner, representaron el 221% del déficit y más de siete veces de lo ejecutado en el presupuesto de la AUH.",
Verdadero,La inflación actual ,La inflación actual es mayor o menor a la del último año de gestión de la ex presidenta según qué fuente se utilice.,
Falso,Este tipo de inversi,"Este tipo de inversión en 2016 fue un tercio que la de 2015. Igualmente, los especialistas destacan que por el cepo cambiario que existió hasta diciembre de 2015 esta estadística se vio distorsionada ya que las empresas extranjeras no podían sacar sus ganancias del país.",
Falso,La jubilación media ,"La jubilación media de los beneficiarios que no ingresaron por moratorias es más del doble del que se señala en el aviso. Si bien la mayoría de los jubilados cobran la mínima, gran parte de ellos ingresaron por moratoria y no completaron sus aportes.",
Falso,Según los datos ofic,"Según los datos oficiales, en la última dictadura militar como mínimo seis personas fueron detenidas desaparecidas en Santa Cruz, mientras que 11 santacruceños fueron desaparecidos en otras provincias.",
Falso,En 2017 hubo una cla,"En 2017 hubo una clara caída de la inflación. Igualmente, los datos de la provincia de San Luis y de la Ciudad de Buenos Aires, utilizados por el Gobierno durante la “emergencia estadística” ya que se pueden comparar en el tiempo, señalan que el último dato no es el más bajo desde 2010.",
Falso,Si bien este indicad,"Si bien este indicador no tiene una única manera de medirse, las fuentes oficiales y alternativas calculan que la precariedad laboral es similar a la marcada por el FIT.",
Verdadero,Las fuentes oficiale,"Las fuentes oficiales y alternativas muestran que el salario de los trabajadores privados y públicos registrados cayó entre un 5 y 8% en el período señalado. Si se considera a los trabajadores informales, la pérdida sería mayor, pero no existen datos para dimensionarla.",
Falso,El candidato de Cump,"El candidato de Cumplir igualó a la Gobernadora bonaerense con Daniel Scioli. Si bien hubo una suba en 2017, en su primer año Cambiemos bajó el presupuesto publicitario por primera vez desde 2011 y el desembolso que tiene previsto la Provincia para este año no alcanza a ninguno de los porcentajes que destinó la gestión anterior.",
Falso,Los datos muestran u,Los datos muestran un estancamiento de la inversión desde 2012 y que el país se encuentra por debajo del promedio sudamericano y mundial.,
Verdadero,Si bien al momento d,"Si bien al momento de su designación el ex jefe del Ejército no estaba imputado ni procesado por la Justicia, fue denunciado durante el debate por su último ascenso militar y la ex presidenta lo mantuvo igual en el cargo hasta 2015.",
Falso,"Juan Schiaretti, sob","Juan Schiaretti, sobre el reclamo de la Provincia por el Fondo del Conurbano: “Junto con la Capital Federal recibe más de $80 mil millones en subsidios anuales”",
Falso,El gobernador de Cór,"El gobernador de Córdoba se refirió a los recursos que reparte el Estado nacional a la Ciudad y la Provincia de Buenos Aires. Los datos muestran que ambas jurisdicciones son las más beneficiadas, muy por encima de su población y sin registrar los peores índices de pobreza.",
Verdadero,Los datos muestran q,Los datos muestran que este mes fue récord y que 2017 viene siendo el mejor año del que se tenga registro.,
Verdadero,El ministro de Inter,"El ministro de Interior y Obras Públicas comparó la situación actual con el año anterior, cuando se produjo el nivel de empleo en el sector más bajo desde 2007, según el registro del IERIC. Además, todavía no se recuperaron todos los puestos de trabajo perdidos en los primeros meses de 2016.",
Falso,Los datos muestran q,"Los datos muestran que se llega a esta conclusión si no se considera la inflación del dólar ni se toma en cuenta el tamaño de la economía. Al tomar el aumento de precios de la divisa extranjera, este sería el sexto año con mayor déficit comercial desde 1910. Si se lo compara con las exportaciones y el PBI de cada año, como recomiendan los especialistas, está lejos de ser el peor déficit de la historia.",
Falso,La Argentina es el c,"La Argentina es el cuarto país del mundo que menos exporta e importa como porcentaje de su PBI, detrás de Sudán, Pakistán y Brasil. Las importaciones y las exportaciones subieron el primer año de la gestión de Cambiemos, aunque igualmente estos valores, después de los de 2015, son los menores desde la crisis de 2001.",
Verdadero,En el primer semestr,"En el primer semestre de 2017, los salarios subieron más que la inflación. Sin embargo, estos todavía se encuentran por debajo de la capacidad de compra que tenían en noviembre de 2015, antes de la asunción del gobierno de Cambiemos.",
Verdadero,Los hogares que no c,"Los hogares que no cuentan con este servicio básico representan un porcentaje mucho menor. Esto se confirma tanto si se miran los datos del Censo 2010, últimas estadísticas oficiales disponibles, como las cifras alternativas de la UCA que llegan hasta 2016.",
Falso,Los datos oficiales ,"Los datos oficiales muestran que el Gobierno nacional no aumentó su recaudación en ese volumen sino que, por el contrario, recuperó a través de este impuesto sólo un 35% de lo que percibía antes de la quita de retenciones.",
Falso,Tanto en la Provinci,Tanto en la Provincia como en todo el país en la última década bajó el porcentaje de alumnos matriculados en entidades públicas y aumentó la participación de la educación privada.,
Verdadero,En la mayoría de los,"En la mayoría de los países donde se usó alguna forma de voto electrónico, este sistema fue abandonado.",
Verdadero,En 2015 la publicaci,"En 2015 la publicación de los datos provisorios fue mucho más lenta. Sin embargo, al tratarse de una elección ejecutiva, no es comparable con la del domingo. En las PASO de 2013, el escrutinio provisorio fue más rápido aunque se eligió una categoría menos.",
Verdadero,El gasto porteño es ,El gasto porteño es el más alto desde la autonomía del distrito. Lo mismo pasa con la recaudación. Pero este es un fenómeno general que sucedió en todo el país.,
Verdadero,El consumo de carne ,"El consumo de carne vacuna y la capacidad de compra de asado del salario mínimo bajaron fuertemente en 2016, aunque ambos indicadores se recuperaron en el primer semestre de 2017. Además, el consumo de carne vacuna en la Argentina es casi siete veces el promedio mundial.",
Falso,Los videos oficiales,"Los videos oficiales de la campaña de la diputada nacional no tienen ningún dato ni frase contrastable con hechos y datos, sino oraciones vagas que son imposibles de verificar.",
Falso,El servicio provinci,"El servicio provincial de emergencias de salud está funcionando en 28 municipios y ya abarca al 42% de la población de Buenos Aires. Se está implementando, con distinto nivel de avance, en 19 municipios más.",
Verdadero,Los productos farmac,"Los productos farmacéuticos crecieron entre un 92 y 100%, de acuerdo con el índice de precios que se considere, y siempre por encima de la inflación general. Igualmente, esta tendencia se modificó en 2016.",
Verdadero,Los datos oficiales ,"Los datos oficiales y alternativos muestran que en el país se trabaja en promedio unas 40 horas semanales o 48 en el caso de los empleados full-time, menos que lo dicho por el candidato del FIT para el mismo período. La cantidad es similar a la de países como Brasil o Uruguay.",
Falso,Durante el primer añ,"Durante el primer año de Macri a cargo de la presidencia la inflación aumentó y se ubicó en uno de sus valores más altos de los últimos 25 años. Sin embargo, durante los primeros seis meses de 2017 hubo una importante disminución y el aumento de precios fue la mitad que en el primer semestre de 2016.",
Falso,Durante la gestión d,"Durante la gestión de Randazzo, el Ministerio del Interior quedó a cargo de los pasaportes y lanzó una modalidad que permite obtenerlo al instante con un costo adicional de US$200. El trámite fue realizado por 100 mil personas desde su implementación.",
Verdadero,La tasa aumentó entr,"La tasa aumentó entre 2015 y 2016, pero si se mira el último trienio, indicador que los especialistas aconsejan tomar, las muertes de bebés en la Ciudad en el período 2014-2016 fueron menos que nunca antes.",
Falso,Un estudio coincide ,"Un estudio coincide con la frase del presidente de la Sociedad Rural, luego de incluir empleos directos y además indirectos, como los generados por el pago de impuestos o el consumo del sector. Existen críticas a esta metodología y otros trabajos calculan porcentajes menores.",
Falso,Hay 28 municipios bo,Hay 28 municipios bonaerenses que ya cuentan con el servicio de emergencias y 19 distritos más se están incorporando.,
Falso,Los datos del INDEC ,"Los datos del INDEC son cercanos a los valores que señaló el candidato a senador nacional por el Frente de Izquierda y de los Trabajadores (FIT). Los expertos advierten que surgen de una encuesta, por lo que puede haber cierta subdeclaración.",
Verdadero,Los especialistas co,"Los especialistas coinciden en que las personas pobres destinan un mayor porcentaje de sus ingresos a los alimentos y, por ende, los impuestos en esos bienes tienen un mayor impacto en términos relativos sobre quienes tienen menos ingresos.",
Verdadero,Los datos oficiales ,"Los datos oficiales muestran que mejoró el mercado de préstamos para viviendas y en el último mes se dieron unos 2.000 créditos, aunque el cálculo del Gobierno toma todos los bancos y es sólo sobre el horario bancario de los días hábiles.",
Falso,Durante 2016 la cant,"Durante 2016 la cantidad de PyMEs que abrieron y cerraron dan un saldo levemente peor al mencionado por Randazzo, pero se ajusta a un estancamiento que viene desde 2011 y la baja fue menor a la registrada en 2014.",
Falso,Los últimos datos di,"Los últimos datos disponibles muestran un descenso de robos y homicidios en la Provincia de Buenos Aires tanto en 2016 como en 2015. Clarín publicó que, según la Procuración bonaerense, el delito aumentó en 2017 pero desde el organismo no confirman ni desmienten esa información.",
Falso,Los intereses de la ,"Los intereses de la deuda superaron en 2016 a la inversión en educación y salud por primera vez desde el período 2005-2008. Pero los datos están distorsionados por los arreglos con los acreedores de deuda, como los fondos buitre.",
